A,B,C,D
0.9404407885951795,-1.5308353541453723,-0.8347269094715801,0.20012078616503276
0.9404407885951795,0.21156911656476057,-0.23015416937118174,0.20012078616503276
1.8370757085275606,0.21156911656476057,-0.23015416937118174,0.2460849584088921
1.8370757085275606,0.21156911656476057,1.1502548301416124,0.2460849584088921
1.8370757085275606,1.168096764434523,1.1502548301416124,0.2460849584088921
1.8370757085275606,1.838894683800801,1.1502548301416124,0.2460849584088921
1.8370757085275606,1.838894683800801,1.6555471474530203,0.2460849584088921
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.838894683800801,1.6555471474530203,0.49202635470895645
1.8370757085275606,1.8406058186599301,1.6555471474530203,0.6761230739569318
1.8370757085275606,1.8406058186599301,1.6555471474530203,0.7826043095056568
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.2307288818606366
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.2307288818606366
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.5701477964918
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.5701477964918
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.5701477964918
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.5701477964918
1.8370757085275606,1.8406058186599301,1.6555471474530203,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.5701477964918
1.8370757085275606,1.8406058186599301,1.976592196813396,1.6843937515445955
1.8370757085275606,1.8406058186599301,1.976592196813396,1.6843937515445955
1.8370757085275606,1.8406058186599301,1.976592196813396,1.6843937515445955
1.8370757085275606,1.8406058186599301,1.976592196813396,1.6843937515445955
1.8370757085275606,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.8370757085275606,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.8370757085275606,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9489405423422905,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8406058186599301,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,1.6843937515445955
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
1.9615367605144416,1.8526312437776982,2.3174060197555106,2.840169469302038
